transit_timestamp,station_complex_id,station_complex,borough,Georeference,ridership,transfers,weekday
2023-01-12,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),8102,59,Thursday
2023-01-13,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),13522,236,Friday
2023-01-13,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3366,61,Friday
2023-01-13,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16863,806,Friday
2023-01-13,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),7930,61,Friday
2023-01-14,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),9278,141,Saturday
2023-01-14,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1675,24,Saturday
2023-01-14,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),10581,419,Saturday
2023-01-14,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),5393,40,Saturday
2023-01-15,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),7528,90,Sunday
2023-01-15,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1273,14,Sunday
2023-01-15,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),8990,351,Sunday
2023-01-15,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),4576,23,Sunday
2023-01-16,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),8661,130,Monday
2023-01-16,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1790,39,Monday
2023-01-16,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),10314,449,Monday
2023-01-16,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),5503,23,Monday
2023-01-17,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),13272,214,Tuesday
2023-01-17,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3314,63,Tuesday
2023-01-17,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16563,761,Tuesday
2023-01-17,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),8142,48,Tuesday
2023-01-18,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),13811,226,Wednesday
2023-01-18,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3590,71,Wednesday
2023-01-18,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),17379,802,Wednesday
2023-01-18,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),8447,61,Wednesday
2023-01-19,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),14177,249,Thursday
2023-01-19,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3513,55,Thursday
2023-01-19,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16529,829,Thursday
2023-01-19,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),7972,63,Thursday
2023-01-20,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),13901,239,Friday
2023-01-20,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3434,66,Friday
2023-01-20,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16906,789,Friday
2023-01-20,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),8406,65,Friday
2023-01-21,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),9678,144,Saturday
2023-01-21,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1733,17,Saturday
2023-01-21,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),11332,404,Saturday
2023-01-21,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),5804,43,Saturday
2023-01-22,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),7027,84,Sunday
2023-01-22,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1251,11,Sunday
2023-01-22,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),8451,300,Sunday
2023-01-22,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),4320,21,Sunday
2023-01-23,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),12438,195,Monday
2023-01-23,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3092,56,Monday
2023-01-23,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),15559,668,Monday
2023-01-23,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),7634,50,Monday
2023-01-24,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),13418,228,Tuesday
2023-01-24,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3244,80,Tuesday
2023-01-24,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),17147,801,Tuesday
2023-01-24,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),8121,52,Tuesday
2023-01-25,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),14839,216,Wednesday
2023-01-25,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3545,80,Wednesday
2023-01-25,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16789,767,Wednesday
2023-01-25,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),9457,54,Wednesday
2023-01-26,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),15859,244,Thursday
2023-01-26,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3717,67,Thursday
2023-01-26,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),17952,827,Thursday
2023-01-26,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),9628,65,Thursday
2023-01-27,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),14049,226,Friday
2023-01-27,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3203,67,Friday
2023-01-27,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),17373,798,Friday
2023-01-27,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),8664,53,Friday
2023-01-28,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),9698,136,Saturday
2023-01-28,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1740,26,Saturday
2023-01-28,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),11265,413,Saturday
2023-01-28,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),5829,25,Saturday
2023-01-29,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),7237,84,Sunday
