station_complex_id,station_complex,borough,Year,ridership,net_exits
B016,"Church Av (B,Q)",BK,2022,2222133,3593136
B017,Beverley Rd (Q),BK,2018,1062252,958723
B017,Beverley Rd (Q),BK,2019,1057449,1003658
B017,Beverley Rd (Q),BK,2020,466066,472827
B017,Beverley Rd (Q),BK,2021,499355,606337
B017,Beverley Rd (Q),BK,2022,509866,799432
B018,Cortelyou Rd (Q),BK,2018,2006646,631432
B018,Cortelyou Rd (Q),BK,2019,1968349,591842
B018,Cortelyou Rd (Q),BK,2020,845193,366130
B018,Cortelyou Rd (Q),BK,2021,891360,433521
B018,Cortelyou Rd (Q),BK,2022,860153,490444
B019,"Newkirk Plaza (B,Q)",BK,2018,3288951,3078826
B019,"Newkirk Plaza (B,Q)",BK,2019,3276897,3080427
B019,"Newkirk Plaza (B,Q)",BK,2020,1377183,1418508
B019,"Newkirk Plaza (B,Q)",BK,2021,1487969,1793990
B019,"Newkirk Plaza (B,Q)",BK,2022,1254729,1744494
B020,Avenue H (Q),BK,2018,1038210,849938
B020,Avenue H (Q),BK,2019,993638,873787
B020,Avenue H (Q),BK,2020,397205,384966
B020,Avenue H (Q),BK,2021,368888,466032
B020,Avenue H (Q),BK,2022,438315,645292
B021,Avenue J (Q),BK,2018,1886317,934200
B021,Avenue J (Q),BK,2019,1773026,921922
B021,Avenue J (Q),BK,2020,805447,498414
B021,Avenue J (Q),BK,2021,892925,652411
B021,Avenue J (Q),BK,2022,871437,758367
B022,Avenue M (Q),BK,2018,1816975,751630
B022,Avenue M (Q),BK,2019,1703650,739246
B022,Avenue M (Q),BK,2020,775827,368752
B022,Avenue M (Q),BK,2021,870264,493396
B022,Avenue M (Q),BK,2022,871925,622800
B024,"Kings Hwy (B,Q)",BK,2018,5934371,5118161
B024,"Kings Hwy (B,Q)",BK,2019,5960284,5138828
B024,"Kings Hwy (B,Q)",BK,2020,2617954,2460752
B024,"Kings Hwy (B,Q)",BK,2021,2862227,3089905
B024,"Kings Hwy (B,Q)",BK,2022,2903692,3705611
B025,Avenue U (Q),BK,2018,2356287,906468
B025,Avenue U (Q),BK,2019,2324258,881964
B025,Avenue U (Q),BK,2020,1001761,420081
B025,Avenue U (Q),BK,2021,1099660,517741
B025,Avenue U (Q),BK,2022,1105363,627884
B026,Neck Rd (Q),BK,2018,1391944,415374
B026,Neck Rd (Q),BK,2019,1384708,451637
B026,Neck Rd (Q),BK,2020,592261,185347
B026,Neck Rd (Q),BK,2021,607667,226991
