station_complex_id,station_complex,latitude,longitude,Georeference,borough
N181A,Aqueduct Racetrack (A),40.672096,-73.83592,POINT (-73.83592 40.672096),Q
N182,Howard Beach-JFK Airport (A),40.660477,-73.8303,POINT (-73.8303 40.660477),Q
N183,"Broad Channel (A,S)",40.608383,-73.815926,POINT (-73.815926 40.608383),Q
N184,"Beach 90 St (A,S)",40.588036,-73.813644,POINT (-73.813644 40.588036),Q
N185,"Beach 98 St (A,S)",40.585308,-73.82056,POINT (-73.82056 40.585308),Q
N186,"Beach 105 St (A,S)",40.58321,-73.82756,POINT (-73.82756 40.58321),Q
N187,"Rockaway Park-Beach 116 St (A,S)",40.580902,-73.835594,POINT (-73.835594 40.580902),Q
N191,Beach 67 St-Arverne By The Sea (A),40.590927,-73.79692,POINT (-73.79692 40.590927),Q
N192,Beach 60 St (A),40.592373,-73.78852,POINT (-73.78852 40.592373),Q
N193,Beach 44 St (A),40.59294,-73.77602,POINT (-73.77602 40.59294),Q
N194,Beach 36 St (A),40.595398,-73.76817,POINT (-73.76817 40.595398),Q
N195,Beach 25 St (A),40.600067,-73.76135,POINT (-73.76135 40.600067),Q
N196,Far Rockaway-Mott Av (A),40.603996,-73.7554,POINT (-73.7554 40.603996),Q
N202,"155 St (B,D)",40.830135,-73.93821,POINT (-73.93821 40.830135),M
N203,"161 St-Yankee Stadium (B,D,4)",40.827995,-73.92565,POINT (-73.92565 40.827995),BX
N207,"167 St (B,D)",40.83377,-73.91844,POINT (-73.91844 40.83377),BX
N209,"170 St (B,D)",40.839306,-73.9134,POINT (-73.9134 40.839306),BX
N210,"174-175 Sts (B,D)",40.8459,-73.91013,POINT (-73.91013 40.8459),BX
N213,"Tremont Av (B,D)",40.85041,-73.90523,POINT (-73.90523 40.85041),BX
N215,"182-183 Sts (B,D)",40.856094,-73.90074,POINT (-73.90074 40.856094),BX
N217,"Fordham Rd (B,D)",40.861298,-73.89775,POINT (-73.89775 40.861298),BX
N221,"Kingsbridge Rd (B,D)",40.866978,-73.89351,POINT (-73.89351 40.866978),BX
N222,"Bedford Park Blvd (B,D)",40.873245,-73.88714,POINT (-73.88714 40.873245),BX
N224,Norwood-205 St (D),40.87481,-73.87885,POINT (-73.87885 40.87481),BX
N301,"7 Av (B,D,E)",40.762863,-73.981636,POINT (-73.981636 40.762863),M
N303,"5 Av-53 St (E,M)",40.760166,-73.97523,POINT (-73.97523 40.760166),M
N305,"Lexington Av-53 St (E,M)/51 St (6)",40.757553,-73.969055,POINT (-73.969055 40.757553),M
N307,"Court Sq (E,G,M,7)",40.747845,-73.94383,POINT (-73.94383 40.747845),Q
N309A,"Queens Plaza (E,M,R)",40.748974,-73.93724,POINT (-73.93724 40.748974),Q
N312,"36 St (M,R)",40.75204,-73.92878,POINT (-73.92878 40.75204),Q
N315,"Steinway St (M,R)",40.756878,-73.92074,POINT (-73.92074 40.756878),Q
N316,"46 St (M,R)",40.756313,-73.91333,POINT (-73.91333 40.756313),Q
N318,"Northern Blvd (M,R)",40.752884,-73.906006,POINT (-73.906006 40.752884),Q
N322,"65 St (M,R)",40.74967,-73.89845,POINT (-73.89845 40.74967),Q
N325A,"Elmhurst Av (M,R)",40.742455,-73.88202,POINT (-73.88202 40.742455),Q
N327,"Grand Av-Newtown (M,R)",40.737015,-73.87722,POINT (-73.87722 40.737015),Q
N329,"Woodhaven Blvd (M,R)",40.733105,-73.86923,POINT (-73.86923 40.733105),Q
N330B,"63 Dr-Rego Park (M,R)",40.729847,-73.8616,POINT (-73.8616 40.729847),Q
N331,"67 Av (M,R)",40.726524,-73.85272,POINT (-73.85272 40.726524),Q
N333A,"Forest Hills-71 Av (E,F,M,R)",40.72169,-73.84452,POINT (-73.84452 40.72169),Q
N334B,"75 Av (E,F)",40.71833,-73.837326,POINT (-73.837326 40.71833),Q
N336,"Kew Gardens-Union Turnpike (E,F)",40.71444,-73.83101,POINT (-73.83101 40.71444),Q
N337,"Briarwood-Van Wyck Blvd (E,F)",40.70918,-73.82057,POINT (-73.82057 40.70918),Q
N338B,Sutphin Blvd (F),40.70546,-73.81071,POINT (-73.81071 40.70546),Q
N339A,Parsons Blvd (F),40.707565,-73.80333,POINT (-73.80333 40.707565),Q
N340A,169 St (F),40.71047,-73.7936,POINT (-73.7936 40.71047),Q
N343,Jamaica-179 St (F),40.712646,-73.78381,POINT (-73.78381 40.712646),Q
N401,21 St (G),40.744064,-73.94972,POINT (-73.94972 40.744064),Q
N405,Greenpoint Av (G),40.731354,-73.95445,POINT (-73.95445 40.731354),BK
N408A,Nassau Av (G),40.724636,-73.95128,POINT (-73.95128 40.724636),BK
N412,Broadway (G),40.706093,-73.95031,POINT (-73.95031 40.706093),BK
N414,Flushing Av (G),40.70038,-73.95023,POINT (-73.95023 40.70038),BK
N415,Myrtle-Willoughby Avs (G),40.69457,-73.94904,POINT (-73.94904 40.69457),BK
N417,Bedford-Nostrand Avs (G),40.68963,-73.95352,POINT (-73.95352 40.68963),BK
N419,Classon Av (G),40.688873,-73.96007,POINT (-73.96007 40.688873),BK
N420B,Clinton-Washington Avs (G),40.688087,-73.96684,POINT (-73.96684 40.688087),BK
N422,Fulton St (G),40.68712,-73.97537,POINT (-73.97537 40.68712),BK
N500,"47-50 Sts-Rockefeller Center (B,D,F,M)",40.758663,-73.98133,POINT (-73.98133 40.758663),M
N508,"23 St (F,M)",40.742878,-73.99282,POINT (-73.99282 40.742878),M
N512,"14 St (F,M,1,2,3)/6 Av (L)",40.738228,-73.99621,POINT (-73.99621 40.738228),M
N520,"Grand St (B,D)",40.718266,-73.99375,POINT (-73.99375 40.718266),M
N523,2 Av (F),40.7234,-73.98994,POINT (-73.98994 40.7234),M
N525,"Delancey St (F)/Essex St (J,M,Z)",40.718613,-73.987434,POINT (-73.987434 40.718613),M
N529,East Broadway (F),40.713715,-73.99017,POINT (-73.99017 40.713715),M
N530,York St (F),40.701397,-73.98675,POINT (-73.98675 40.701397),BK
N532,"Bergen St (F,G)",40.686146,-73.99086,POINT (-73.99086 40.686146),BK
N535,"Carroll St (F,G)",40.6803,-73.99505,POINT (-73.99505 40.6803),BK
N536,"Smith-9 Sts (F,G)",40.67358,-73.99596,POINT (-73.99596 40.67358),BK
N539A,"7 Av (F,G)",40.66627,-73.98031,POINT (-73.98031 40.66627),BK
N542,"15 St-Prospect Park (F,G)",40.660366,-73.97949,POINT (-73.97949 40.660366),BK
N543,"Fort Hamilton Pkwy (F,G)",40.650784,-73.97578,POINT (-73.97578 40.650784),BK
N546,"Church Av (F,G)",40.64404,-73.979675,POINT (-73.979675 40.64404),BK
N548,Ditmas Av (F),40.63612,-73.97817,POINT (-73.97817 40.63612),BK
N549,18 Av (F),40.629753,-73.976974,POINT (-73.976974 40.629753),BK
N551,Avenue I (F),40.62532,-73.97613,POINT (-73.97613 40.62532),BK
N553,Bay Pkwy (F),40.62077,-73.975266,POINT (-73.975266 40.62077),BK
N555,Avenue N (F),40.61514,-73.9742,POINT (-73.9742 40.61514),BK
N556,Avenue P (F),40.608944,-73.97302,POINT (-73.97302 40.608944),BK
N557,Kings Hwy (F),40.603218,-73.97236,POINT (-73.97236 40.603218),BK
N559,Avenue U (F),40.59606,-73.97336,POINT (-73.97336 40.59606),BK
N561,Avenue X (F),40.58962,-73.97425,POINT (-73.97425 40.58962),BK
N562,Neptune Av (F),40.581013,-73.97457,POINT (-73.97457 40.581013),BK
N600,57 St (F),40.763973,-73.97745,POINT (-73.97745 40.763973),M
N601,"Lexington Av-63 St (F,Q)",40.76463,-73.96611,POINT (-73.96611 40.76463),M
N602,Roosevelt Island (F),40.759144,-73.95326,POINT (-73.95326 40.759144),M
N603,21 St-Queensbridge (F),40.754204,-73.94283,POINT (-73.94283 40.754204),Q
N604,Jamaica-Van Wyck (E),40.702564,-73.81686,POINT (-73.81686 40.702564),Q
N605,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",40.700485,-73.80797,POINT (-73.80797 40.700485),Q
N606,"Jamaica Center-Parsons-Archer (E,J,Z)",40.70215,-73.80111,POINT (-73.80111 40.70215),Q
N700,72 St (Q),40.7688,-73.95843,POINT (-73.95843 40.7688),M
N701,86 St (Q),40.77789,-73.95179,POINT (-73.95179 40.77789),M
N702,96 St (Q),40.784317,-73.94715,POINT (-73.94715 40.784317),M
R101,"South Ferry (1)/Whitehall St (R,W)",40.703087,-74.01299,POINT (-74.01299 40.703087),M
R103,Rector St (1),40.70751,-74.01379,POINT (-74.01379 40.70751),M
R106,WTC Cortlandt (1),40.711834,-74.01219,POINT (-74.01219 40.711834),M
R111,"Wall St (2,3)",40.70682,-74.0091,POINT (-74.0091 40.70682),M
R116,"Chambers St (1,2,3)",40.715477,-74.00927,POINT (-74.00927 40.715477),M
R117,Franklin St (1),40.71932,-74.00689,POINT (-74.00689 40.71932),M
R119,Canal St (1),40.722855,-74.00628,POINT (-74.00628 40.722855),M
R123,Houston St (1),40.728252,-74.00536,POINT (-74.00536 40.728252),M
R125,Christopher St-Sheridan Sq (1),40.73342,-74.00291,POINT (-74.00291 40.73342),M
R129,18 St (1),40.74104,-73.99787,POINT (-73.99787 40.74104),M
R131,23 St (1),40.74408,-73.99566,POINT (-73.99566 40.74408),M
R133,28 St (1),40.747215,-73.99336,POINT (-73.99336 40.747215),M
R135,"34 St-Penn Station (1,2,3)",40.750374,-73.99106,POINT (-73.99106 40.750374),M
R154,50 St (1),40.761726,-73.98385,POINT (-73.98385 40.761726),M
R160,66 St-Lincoln Center (1),40.77344,-73.98221,POINT (-73.98221 40.77344),M
R161B,"72 St (1,2,3)",40.778454,-73.98197,POINT (-73.98197 40.778454),M
R162,79 St (1),40.783936,-73.97992,POINT (-73.97992 40.783936),M
R164,86 St (1),40.788643,-73.97622,POINT (-73.97622 40.788643),M
R168,"96 St (1,2,3)",40.79392,-73.97232,POINT (-73.97232 40.79392),M
R170,103 St (1),40.799446,-73.968376,POINT (-73.968376 40.799446),M
R172,Cathedral Pkwy-110 St (1),40.803967,-73.96685,POINT (-73.96685 40.803967),M
R173,116 St-Columbia University (1),40.80772,-73.96411,POINT (-73.96411 40.80772),M
R174,125 St (1),40.815582,-73.958374,POINT (-73.958374 40.815582),M
R176,137 St-City College (1),40.822006,-73.953674,POINT (-73.953674 40.822006),M
R178,145 St (1),40.82655,-73.95036,POINT (-73.95036 40.82655),M
R180,157 St (1),40.83404,-73.94489,POINT (-73.94489 40.83404),M
R182,"168 St (A,C,1)",40.840717,-73.93956,POINT (-73.93956 40.840717),M
R183,181 St (1),40.849506,-73.93359,POINT (-73.93359 40.849506),M
R185,191 St (1),40.855225,-73.92941,POINT (-73.92941 40.855225),M
R186,Dyckman St (1),40.86053,-73.92554,POINT (-73.92554 40.86053),M
R188,207 St (1),40.86462,-73.91882,POINT (-73.91882 40.86462),M
R190,215 St (1),40.869446,-73.915276,POINT (-73.915276 40.869446),M
R192,Marble Hill-225 St (1),40.87456,-73.90983,POINT (-73.90983 40.87456),M
R194,231 St (1),40.878857,-73.90483,POINT (-73.90483 40.878857),BX
R196,238 St (1),40.884666,-73.90087,POINT (-73.90087 40.884666),BX
R197,Van Cortlandt Park-242 St (1),40.889248,-73.89858,POINT (-73.89858 40.889248),BX
R201,"Bowling Green (4,5)",40.70482,-74.01407,POINT (-74.01407 40.70482),M
R203,"Wall St (4,5)",40.707558,-74.01186,POINT (-74.01186 40.707558),M
R215,Spring St (6),40.7223,-73.99714,POINT (-73.99714 40.7223),M
R217,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",40.725914,-73.99466,POINT (-73.99466 40.725914),M
R219,Astor Place (6),40.730053,-73.99107,POINT (-73.99107 40.730053),M
R226,23 St (6),40.739864,-73.9866,POINT (-73.9866 40.739864),M
R228,28 St (6),40.74307,-73.98426,POINT (-73.98426 40.74307),M
R231,33 St (6),40.746082,-73.98208,POINT (-73.98208 40.746082),M
R238,"Grand Central-42 St (S,4,5,6,7)",40.751778,-73.976845,POINT (-73.976845 40.751778),M
R246,68 St-Hunter College (6),40.768143,-73.96387,POINT (-73.96387 40.768143),M
R247,77 St (6),40.77362,-73.95988,POINT (-73.95988 40.77362),M
R249,"86 St (4,5,6)",40.77949,-73.95559,POINT (-73.95559 40.77949),M
R251,96 St (6),40.78567,-73.95107,POINT (-73.95107 40.78567),M
R252,103 St (6),40.7906,-73.94748,POINT (-73.94748 40.7906),M
R254,110 St (6),40.79502,-73.94425,POINT (-73.94425 40.79502),M
R256,116 St (6),40.79863,-73.94162,POINT (-73.94162 40.79863),M
R258,"125 St (4,5,6)",40.80414,-73.93759,POINT (-73.93759 40.80414),M
R259,"138 St-Grand Concourse (4,5)",40.813225,-73.92985,POINT (-73.92985 40.813225),BX
R261,"149 St-Grand Concourse (2,4,5)",40.818375,-73.92735,POINT (-73.92735 40.818375),BX
R283,167 St (4),40.835537,-73.9214,POINT (-73.9214 40.835537),BX
